ordinal,id_plataforma,paginas,classe_aderencia,status_banco,assunto,subassunto,item_primario,itens_secundarios,tipo_correspondencia,confianca,texto_completo,cinco_alternativas,caracteristicas,elemento_visual_recuperado,extracao_suficiente,gabarito_origem,resposta_operacional,anulacao_oficial_identificada_no_acervo,conflito_gabarito_detectado_fontes_disponiveis,grupo_duplicata,registro_principal,apta_estudo,potencial_simulado,resultado_recuperacao_v2,motivos
146,4001892976,56,ADERENTE_DIRETA,ADERENTE_DIRETA,Dados estruturados,"Dados estruturados, semiestruturados e não estruturados","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,146,sim,sim,,
147,4002272933,56,ADERENTE_DIRETA,ADERENTE_DIRETA,Programação,"Linguagens, frameworks e código de aplicação",Dados estruturados e não estruturados,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,147,sim,sim,,
148,4002554007,"56,57",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,148,sim,sim,,
149,4001014793,57,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,Integridade referencial,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,149,sim,sim,,
150,4001469323,57,ADERENTE_DIRETA,ADERENTE_DIRETA,SGBD,"Triggers, eventos e granularidade de disparo",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,150,sim,sim,,
151,4001469827,"57,58",ADERENTE_DIRETA,ADERENTE_DIRETA,Integração de dados,"ETL, ELT, ingestão e preparação","ETL/ELT, transferência de arquivos e integração via base de dados",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,151,sim,sim,,
152,4001677857,58,ADERENTE_DIRETA,ADERENTE_DIRETA,Integração de dados,"ETL, ELT, ingestão e preparação","ETL/ELT, transferência de arquivos e integração via base de dados",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,152,sim,sim,,
153,4001677859,58,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,153,sim,sim,,
155,4001789712,59,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem dimensional,"Data Warehouse, OLAP e estruturas dimensionais","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,155,sim,sim,,
156,4000763032,59,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,156,sim,sim,,
157,4001507103,"59,60",ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,157,sim,sim,,
159,4001626846,60,ADERENTE_DIRETA,ADERENTE_DIRETA,Transações,"ACID, concorrência e transações distribuídas",Propriedades de banco de dados,SGBD,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,159,sim,sim,,
162,4002464796,61,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Forma Normal de Boyce-Codd (BCNF/FNBC),Normalização,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,162,sim,sim,,
163,4001574597,"61,62",ADERENTE_PARCIAL,ADERENTE_PARCIAL,Engenharia de software,Modelagem UML,"Modelagem conceitual, lógica e física","Design de software, arquitetura hexagonal, microsserviços, API gateway, containers e transações distribuídas",parcial,média,sim,sim,diagrama,não,sim,plataforma secundária,C,não,não,,163,sim,sim,,
164,4001580954,62,ADERENTE_PARCIAL,ADERENTE_PARCIAL,Engenharia de software,Modelagem UML,"Modelagem conceitual, lógica e física","Design de software, arquitetura hexagonal, microsserviços, API gateway, containers e transações distribuídas",parcial,média,sim,sim,diagrama,não,sim,oficial definitivo,C,não,não,,164,sim,sim,,
165,4001580955,62,ADERENTE_PARCIAL,ADERENTE_PARCIAL,Engenharia de software,Modelagem UML,"Modelagem conceitual, lógica e física","Design de software, arquitetura hexagonal, microsserviços, API gateway, containers e transações distribuídas",parcial,média,sim,sim,diagrama,não,sim,oficial definitivo,D,não,não,,165,sim,sim,,
166,4001580965,"62,63",ADERENTE_PARCIAL,ADERENTE_PARCIAL,Engenharia de software,Modelagem UML,"Modelagem conceitual, lógica e física","Design de software, arquitetura hexagonal, microsserviços, API gateway, containers e transações distribuídas",parcial,média,sim,sim,diagrama,não,sim,oficial definitivo,A,não,não,,166,sim,sim,,
167,4001624683,63,ADERENTE_PARCIAL,ADERENTE_PARCIAL,Engenharia de software,Modelagem UML,"Modelagem conceitual, lógica e física","Design de software, arquitetura hexagonal, microsserviços, API gateway, containers e transações distribuídas",parcial,média,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,167,sim,sim,RECUPERADA_INTEGRALMENTE,
168,4002009589,"63,64",ADERENTE_PARCIAL,ADERENTE_PARCIAL,Engenharia de software,Modelagem UML,"Modelagem conceitual, lógica e física",,parcial,média,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,168,sim,sim,RECUPERADA_INTEGRALMENTE,
170,4002467511,64,ADERENTE_PARCIAL,ADERENTE_PARCIAL,Engenharia de software,Modelagem UML,"Modelagem conceitual, lógica e física","Design de software, arquitetura hexagonal, microsserviços, API gateway, containers e transações distribuídas",parcial,média,sim,sim,diagrama,não,sim,plataforma secundária,C,não,não,,170,sim,sim,,
171,4001072678,"64,65",ADERENTE_DIRETA,ADERENTE_DIRETA,Metadados,Metadados e catálogo de dados,Metadados,SGBD,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,171,sim,sim,,
172,4001686754,65,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,172,sim,sim,,
173,4002467206,65,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,173,sim,sim,,
174,4002424762,65,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,174,sim,sim,RECUPERADA_INTEGRALMENTE,
175,4001379422,"65,66",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,175,sim,sim,,
176,4001380974,66,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,176,sim,sim,,
177,4001384422,66,ADERENTE_DIRETA,ADERENTE_DIRETA,SGBD,"Triggers, eventos e granularidade de disparo",SGBD,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,177,sim,sim,,
178,4001384562,"66,67",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,178,sim,sim,,
179,4001445971,67,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,diagrama,não,sim,plataforma secundária,D,não,não,,179,sim,sim,,
181,4001511007,68,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,diagrama,não,sim,plataforma secundária,B,não,não,,181,sim,sim,,
182,4001747910,68,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,diagrama,não,sim,plataforma secundária,D,não,não,,182,sim,sim,,
183,4001789073,"68,69",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,183,sim,sim,,
184,4002467207,69,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,184,sim,sim,,
185,4001784157,69,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,diagrama,sim,sim,plataforma secundária,D,não,não,,185,sim,sim,RECUPERADA_INTEGRALMENTE,
186,4002444771,69,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,"gráfico, diagrama",não,sim,plataforma secundária,E,não,não,,186,sim,sim,,
187,4002444772,70,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,diagrama,não,sim,plataforma secundária,C,não,não,,187,sim,sim,,
188,4002448778,70,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,188,sim,sim,,
189,4001037658,70,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,189,sim,sim,,
191,4001367663,71,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,191,sim,sim,,
192,4001367670,"71,72",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,192,sim,sim,,
194,4001424119,72,ADERENTE_DIRETA,ADERENTE_DIRETA,Outro/indeterminado,Não classificado,Integridade referencial,"Modelagem conceitual, lógica e física",direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,194,sim,sim,,
195,4001424425,73,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,195,sim,sim,,
196,4001424436,73,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,196,sim,sim,,
197,4001424658,73,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,Abordagem relacional e multidimensional,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,197,sim,sim,,
199,4001677874,74,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,199,sim,sim,,
200,4001677879,"74,75",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,200,sim,sim,,
201,4001685497,75,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,A,não,não,,201,sim,sim,,
202,4001686752,75,ADERENTE_PARCIAL,ADERENTE_PARCIAL,SGBD,"Arquitetura, administração e recursos de SGBD",SGBD,,parcial,média,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,202,sim,sim,,
203,4001748947,"75,76",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,203,sim,sim,,
204,4001849467,76,ADERENTE_DIRETA,ADERENTE_DIRETA,SGBD,"Arquitetura, administração e recursos de SGBD",Integridade referencial,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,204,sim,sim,,
206,4001222061,"76,77",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade",Integridade referencial,"Modelagem conceitual, lógica e física",direta,alta,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,206,sim,sim,,
208,4002154199,77,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,208,sim,sim,,
209,4002271770,"77,78",ADERENTE_DIRETA,ADERENTE_DIRETA,Dados estruturados,"Dados estruturados, semiestruturados e não estruturados",Dados estruturados e não estruturados,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,209,sim,sim,,
210,4002300599,78,ADERENTE_DIRETA,ADERENTE_DIRETA,SGBD,"Arquitetura, administração e recursos de SGBD",Abordagem relacional e multidimensional,,direta,alta,sim,sim,tabela,sim,sim,plataforma secundária,A,não,não,,210,sim,sim,,
211,4002464797,78,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,211,sim,sim,,
212,4002467214,78,ADERENTE_DIRETA,ADERENTE_DIRETA,NoSQL,Modelos NoSQL,Banco de dados NoSQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,212,sim,sim,RECUPERADA_INTEGRALMENTE,
213,4001662211,"78,79",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,C,não,não,,213,sim,sim,,
215,4001424643,79,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,"tabela, fórmula",sim,sim,plataforma secundária,B,não,não,,215,sim,sim,RECUPERADA_INTEGRALMENTE,
216,4002154200,"79,80",ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,D,não,não,,216,sim,sim,,
217,4001395969,80,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,217,sim,sim,,
218,4001926461,80,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,218,sim,sim,,
219,4002379578,80,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,219,sim,sim,,
220,4002379581,"80,81",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",sim,sim,plataforma secundária,D,não,não,,220,sim,sim,RECUPERADA_INTEGRALMENTE,
221,4002448779,81,ADERENTE_DIRETA,ADERENTE_DIRETA,Modelagem de dados,"Modelo conceitual, lógico, ER e cardinalidade",Integridade referencial,"Modelagem conceitual, lógica e física",direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,221,sim,sim,,
225,4002111743,"82,83",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",sim,sim,plataforma secundária,B,não,não,,225,sim,sim,RECUPERADA_INTEGRALMENTE,
226,4002111744,83,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",sim,sim,plataforma secundária,A,não,não,,226,sim,sim,RECUPERADA_INTEGRALMENTE,
227,4001072664,83,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Forma Normal de Boyce-Codd (BCNF/FNBC),Normalização,,direta,alta,sim,sim,"tabela, fórmula",não,sim,plataforma secundária,D,não,não,,227,sim,sim,,
228,4001395998,"83,84",ADERENTE_PARCIAL,ADERENTE_PARCIAL,Normalização,Dependências funcionais e formas normais,Normalização,,parcial,média,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,228,sim,sim,,
229,4001573730,84,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",Normalização,,direta,alta,sim,sim,"tabela, fórmula",não,sim,plataforma secundária,A,não,não,,229,sim,sim,,
230,4001574588,84,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Forma Normal de Boyce-Codd (BCNF/FNBC),Normalização,,direta,alta,sim,sim,"tabela, fórmula",sim,sim,plataforma secundária,C,não,não,,230,sim,sim,,
231,4001788457,85,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,"Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,231,sim,sim,,
232,4001945107,85,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,232,sim,sim,,
233,4001748830,"85,86",ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,A,não,não,,233,sim,sim,,
234,4002424929,86,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Forma Normal de Boyce-Codd (BCNF/FNBC),Normalização,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,234,sim,sim,,
235,4002432920,86,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Forma Normal de Boyce-Codd (BCNF/FNBC),Normalização,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,235,sim,sim,,
237,4001640523,"86,87",ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Dependências funcionais e formas normais,Normalização,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,237,sim,sim,,
238,4000838611,87,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Forma Normal de Boyce-Codd (BCNF/FNBC),Normalização,,direta,alta,sim,sim,"tabela, fórmula",sim,sim,plataforma secundária,B,não,não,,238,sim,sim,,
239,4000991192,"87,88",ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Forma Normal de Boyce-Codd (BCNF/FNBC),Normalização,DDL,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,239,sim,sim,,
240,4001032213,88,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Forma Normal de Boyce-Codd (BCNF/FNBC),"Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,240,sim,sim,,
241,4001041995,"88,89",ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Forma Normal de Boyce-Codd (BCNF/FNBC),Normalização,DDL,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,241,sim,sim,,
242,4001685493,89,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Forma Normal de Boyce-Codd (BCNF/FNBC),Normalização,,direta,alta,sim,sim,"tabela, fórmula",não,sim,plataforma secundária,B,não,não,,242,sim,sim,,
243,4001686737,"89,90",ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Forma Normal de Boyce-Codd (BCNF/FNBC),Normalização,,direta,alta,sim,sim,"tabela, fórmula",sim,sim,plataforma secundária,B,não,não,,243,sim,sim,,
244,4002020414,90,ADERENTE_DIRETA,ADERENTE_DIRETA,Normalização,Forma Normal de Boyce-Codd (BCNF/FNBC),Normalização,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,C,não,não,,244,sim,sim,RECUPERADA_INTEGRALMENTE,
245,4001032204,"90,91",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,sim,sim,plataforma secundária,A,não,não,,245,sim,sim,RECUPERADA_INTEGRALMENTE,
246,4001032208,91,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,246,sim,sim,,
247,4001032211,"91,92",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,247,sim,sim,,
248,4001042026,92,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,Abordagem relacional e multidimensional,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,248,sim,sim,,
249,4001042035,"92,93",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,249,sim,sim,,
250,4001068088,93,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,sim,sim,plataforma secundária,D,não,não,,250,sim,sim,RECUPERADA_INTEGRALMENTE,
251,4001068136,"93,94",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,251,sim,sim,,
252,4001068194,94,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",DDL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,B,não,não,,252,sim,sim,,
253,4001068858,"94,95",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,253,sim,sim,,
254,4001068859,95,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,254,sim,sim,,
255,4001068926,"95,96",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,255,sim,sim,,
256,4001068933,96,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",DDL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,A,não,não,,256,sim,sim,,
257,4001068938,96,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,Integridade referencial,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,C,não,não,,257,sim,sim,,
258,4001072682,"96,97",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,E,não,não,,258,sim,sim,,
259,4001073090,"97,98",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,sim,sim,plataforma secundária,D,não,não,,259,sim,sim,RECUPERADA_INTEGRALMENTE,
260,4001083280,"98,99",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,D,não,não,,260,sim,sim,,
261,4001083289,99,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,não,sim,plataforma secundária,B,não,não,,261,sim,sim,,
262,4001083291,99,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,A,não,não,,262,sim,sim,,
263,4001083297,"99,100",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,E,não,não,,263,sim,sim,,
264,4001083298,"100,101",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,C,não,não,,264,sim,sim,,
265,4001094075,101,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,E,não,não,,265,sim,sim,,
266,4001221744,101,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,"código, SQL",não,sim,plataforma secundária,D,não,não,,266,sim,sim,,
267,4001222066,"101,102",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,sim,sim,plataforma secundária,D,não,não,,267,sim,sim,RECUPERADA_INTEGRALMENTE,
268,4001224861,"102,103",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",DML,SQL,direta,alta,sim,sim,"código, SQL, tabela",não,sim,plataforma secundária,D,não,não,,268,sim,sim,,
269,4001245739,103,ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,tabela,sim,sim,plataforma secundária,D,não,não,,269,sim,sim,RECUPERADA_INTEGRALMENTE,
270,4001245772,103,ADERENTE_DIRETA,ADERENTE_DIRETA,Estruturas de dados,"Pilhas, árvores, hash e estruturas clássicas","Modelagem conceitual, lógica e física",,direta,alta,sim,sim,tabela,não,sim,plataforma secundária,C,não,não,,270,sim,sim,,
271,4001245774,"103,104",ADERENTE_DIRETA,ADERENTE_DIRETA,SQL,"Consultas, comandos, junções e subconsultas",SQL,,direta,alta,sim,sim,texto,sim,sim,plataforma secundária,A,não,não,,271,sim,sim,RECUPERADA_INTEGRALMENTE,
